order-id,Merchant SKU,Product,Qty,ASIN,Product ID (Finale),Amazon SKU,
20xT460_CB,87138_20FN002SUS,"Lenovo T460 14"" i5 4 500 Win7 Pro",20,B01CO42TIA,LENOVO-056,X001EGBVNF,
rev70907,87669-80VE000DUS,"Lenovo Flex 4 15.6"" FHD i5 1T 8GB Win10",1,B0725QD3PF,LENOVO-064,X001F2S8A7,
rev70907,88419_LC5-00015,Microsoft Surface 3 Tablet 4 64,3,B072QRCFCG,MICROSOFT-006,X001GHXBSF,
rev70907,88882_1KC80US#ABA,HP elitedesk Mini 800 G2 i7 256 8 Win10P,1,B073PNKZ5M,HP-081,X001GSQEWT,
rev70907,87113_W2K26UAR#ABA,"HP Spectre 13.3"" FHD i7 256 8 Win10 (CR)",1,B01M3PP48R,HP-055,X001EGAT4H,
rev70907,X7U11UA#ABA_15-bk127cl,"HP Pavilion X360 15.6"" TS FHD i5 8 1T Blit Win10(Purp)",2,B06XP8QX98,HP-080,X001CUH0A1,
rev70907,86842_W0P57AAR#ABA-WPHS,HP 15T Touch FHD i7 12 1T blit Win10 (CR),1,B06ZZTHW9W,HP-058,X001E91E2Z,
rev70907,msft-i7559-5012GRY_16GB,msft i7559-5012gry i7 16 1T GTX960,1,B0728JV216,DELL-094,X001G5U0BD,
rev70907,85694_LX-WX50,JVC Projector LX-WX50,4,B01HJ2LF28,JVC-001,X001CNAEYH,
rev70907,20EV002FUS_8GBupgraded_cref,Lenovo T 15 E560 i5 500/8 7P Cref,1,B01MYZJ35N,LENOVO-001,X001C5ORTD,
rev70907,85108_QF9-00097-BP,"Dell XPS 9350 13.3"" TS i5 256GB 8GB Blit Win 10 (CR)",1,B06W9P66FS,DELL-081,X001C7RP77,
rev70907,85640_G752VL-UH71T,"ASUS ROG 17.3"" FHD i7 256+1T 24 GTX965M win10 ",1,B01G43VFBY,ASUS-015,X001CFVUQB,
rev70907,20FL000KUS-New,Lenovo T P50s i7 M500M 8 500 FHD Blit Win7/10P,1,B071L7FHG8,LENOVO-072,X001EU0NBR,
rev70907,81199_20EV002FUS-12GB-2,Lenovo T 15 E560 i5 500/12 7P,1,B01N073R0R,LENOVO-030-N,X001GF9R3Z,
rev70907,88291_LC5-00015,Microsoft Surface 3 Tablet 4 64,2,B072QRCFCG,MICROSOFT-006,X001G6M3MB,
rev70907,dp_N1R85UAT#ABA,HP Spectre 13 x360 i7 258 8 FHD Nature Silver (CR),2,B0736DL1RT,HP-077-R,X001GGX7ML,
rev70907,dp-80KE000FUS,"Lenovo Flex 4 15.6"" i7 16 512 AMD R7 Win10 Blit (CR)",1,B06WWN2JX3,LENOVO-074,X001CASAZ5,
rev70907,88153_I15-755971T16TUV-PON,Dell i7559-7512 i7 16 1T+128GB Blit Win10,1,B071G1LQ7G,DELL-073,X001FUUDPR,
rev70907,88321_7GM-00015_128,Microsoft Surface 3 Tablet 4 128,2,B071WV2L4Q,MICROSOFT-005,X001G3O147,
rev70907,88420_7GM-00015,Microsoft Surface 3 10.8 Tablet 4 128,1,B012DTDI2C,MICROSOFT-005,X001GI8PS5,
rev70907,20EV002FUS_8GBupgraded,Lenovo T 15 E560 i5 500/8 7P,3,B01G9JCLW0,LENOVO-001,X0014EBB9L,
rev70907,Envy15x360-cRef,"HP Envy x360 15.6"" FHD i7 16 1T Win10 (CR)",3,B01NBWAB3J,HP-041,X001BBX27B,
rev70907,dp-80KE000GUS,"Lenovo Flex 4 15.6"" i7 16 256 Win10 Blit (CR)",1,B06X9BX4WR,LENOVO-057,X001CAD0FF,
rev70907,dp_Y9F95UT#ABA,"HP 450 G4 15.6"" i5 256GB 8GB FHD Win10P",1,B071G4QPLV,HP-071,X001FWZA3Z,
rev70907,87334_W0U97AAR#ABA-WNQN,HP Envy 17T i7 16 1T FHD NV 940MX Win10 (CR),1,B0713Y4BKC,HP-062,X001EPWPJZ,
rev70907,pcm-20F60097US,"Lenovo T X260 12.5"" IPS FHD i7 16GB 256GB Blit Win7/10P",1,B073HSXZNN,LENOVO-060,X001GOCH83,
rev70907,89171_V8G94UT#ABA,"HP EliteBook Folio G1 Business Laptop: 12.5"" (1920x1080) TOUCHSCREEN | Intel Core M5-6Y54 | 256GB Opal2 SSD | 8GB RAM | Backlit keyboard | Windows 10 Professional",1,B0741SBKM9,HP-084,X001H9QG8T,
